5050 5050
3 4796 1.0
3 4066 1.0
3 2406 1.0
3 3 2.0
6 4105 1.0
6 4104 1.0
6 6 1.0
10 2868 1.0
10 710 1.0
10 10 1.0
15 439 1.0
15 4848 3.0
15 4325 1.0
15 2967 2.0
15 2273 3.0
15 15 3.0
19 19 1.0
20 3524 1.0
20 2047 1.0
20 1311 1.0
20 1009 1.0
20 533 1.0
20 20 2.0
22 2176 1.0
22 4872 3.0
22 541 2.0
22 4360 1.0
22 22 5.0
23 5039 1.0
23 4827 1.0
23 4301 1.0
23 4910 2.0
23 3292 1.0
23 1835 1.0
23 4897 2.0
23 2244 1.0
23 2978 1.0
23 4855 1.0
23 1987 1.0
23 98 1.0
23 3910 1.0
23 1501 1.0
23 590 1.0
23 23 15.0
26 2270 1.0
26 26 2.0
28 4887 1.0
28 4597 1.0
28 2740 1.0
28 2755 1.0
28 1588 1.0
28 904 1.0
28 28 3.0
29 30 1.0
29 29 2.0
30 30 1.0
30 29 1.0
31 1083 1.0
31 31 1.0
32 2417 1.0
32 4502 1.0
32 32 2.0
33 1117 1.0
33 3987 2.0
33 33 2.0
34 2357 1.0
34 34 1.0
35 4787 2.0
35 2393 2.0
35 35 2.0
36 3975 1.0
36 993 1.0
36 2799 1.0
36 36 2.0
37 4231 1.0
37 37 2.0
38 4992 1.0
38 4179 1.0
38 2033 1.0
38 4143 1.0
38 38 3.0
39 3415 1.0
39 1614 2.0
39 39 2.0
42 3020 1.0
42 1258 1.0
42 42 1.0
43 3741 1.0
43 1317 1.0
43 4374 1.0
43 4373 1.0
43 4208 1.0
43 43 2.0
49 4123 1.0
49 3176 1.0
49 3775 1.0
49 4788 1.0
49 2762 1.0
49 1738 1.0
49 3345 1.0
49 5025 2.0
49 150 1.0
49 4506 1.0
49 4861 1.0
49 2344 1.0
49 2343 1.0
49 4790 2.0
49 3922 1.0
49 195 1.0
49 4356 1.0
49 4355 2.0
49 2739 3.0
49 2471 1.0
49 49 16.0
50 3946 1.0
50 918 1.0
50 191 1.0
50 1964 1.0
50 4913 1.0
50 2379 2.0
50 1278 2.0
50 3809 3.0
50 1795 2.0
50 50 6.0
52 760 1.0
52 4959 1.0
52 2615 1.0
52 2499 2.0
52 52 4.0
53 1100 1.0
53 1002 1.0
53 271 1.0
53 53 1.0
54 5023 1.0
54 3547 1.0
54 2877 1.0
54 4837 1.0
54 4502 1.0
54 4154 1.0
54 54 2.0
55 4594 1.0
55 4501 1.0
55 3783 2.0
55 3327 1.0
55 55 3.0
58 351 2.0
58 4891 1.0
58 4838 2.0
58 4123 1.0
58 1442 1.0
58 883 1.0
58 4359 2.0
58 1831 2.0
58 58 14.0
59 3855 1.0
59 1946 1.0
59 59 3.0
60 1985 1.0
60 5047 2.0
60 4226 1.0
60 3979 1.0
60 2902 1.0
60 2030 1.0
60 2114 1.0
60 60 4.0
64 64 3.0
68 68 1.0
69 4449 1.0
69 2566 1.0
69 4688 1.0
69 2973 1.0
69 69 3.0
70 4651 1.0
70 4375 1.0
70 2783 1.0
70 2779 1.0
70 347 1.0
70 3706 1.0
70 2529 1.0
70 4731 3.0
70 4730 2.0
70 3439 3.0
70 4627 2.0
70 3438 1.0
70 70 7.0
74 5048 1.0
74 166 1.0
74 4138 1.0
74 2966 1.0
74 4777 2.0
74 4776 2.0
74 3183 3.0
74 1793 2.0
74 74 5.0
75 4985 1.0
75 3491 1.0
75 347 1.0
75 75 1.0
81 4914 2.0
81 4092 2.0
81 81 2.0
82 4228 1.0
82 3414 1.0
82 4741 1.0
82 4291 1.0
82 4020 1.0
82 3110 1.0
82 147 1.0
82 4284 1.0
82 4281 2.0
82 1933 2.0
82 329 1.0
82 3848 2.0
82 3206 1.0
82 339 1.0
82 4958 1.0
82 3441 1.0
82 2040 1.0
82 4705 2.0
82 3593 2.0
82 3219 1.0
82 3108 1.0
82 3913 1.0
82 3369 1.0
82 2178 1.0
82 4042 1.0
82 4041 1.0
82 4040 1.0
82 4039 2.0
82 3984 1.0
82 82 11.0
83 3870 1.0
83 3217 1.0
83 3216 1.0
83 3099 1.0
83 2924 1.0
83 332 1.0
83 2850 1.0
83 83 3.0
86 4988 2.0
86 4609 2.0
86 4608 3.0
86 3455 3.0
86 86 4.0
88 4535 1.0
88 4533 2.0
88 1418 2.0
88 4873 1.0
88 3624 1.0
88 2105 1.0
88 88 4.0
91 4984 1.0
91 4725 1.0
91 4000 1.0
91 3141 1.0
91 1411 1.0
91 91 1.0
96 4803 1.0
96 1969 1.0
96 1960 1.0
96 206 1.0
96 4074 1.0
96 2393 2.0
96 96 4.0
98 4468 1.0
98 5041 2.0
98 541 2.0
98 217 1.0
98 5028 3.0
98 5027 2.0
98 4764 1.0
98 3498 1.0
98 23 1.0
98 4138 1.0
98 1846 1.0
98 3359 1.0
98 1687 3.0
98 599 1.0
98 98 9.0
100 100 1.0
105 4909 2.0
105 3008 1.0
105 1728 1.0
105 105 2.0
109 3006 1.0
109 109 2.0
110 4644 1.0
110 3737 1.0
110 3735 1.0
110 1925 1.0
110 1411 1.0
110 4138 1.0
110 3505 2.0
110 2345 1.0
110 110 5.0
112 112 1.0
118 118 1.0
119 4302 1.0
119 4829 2.0
119 4828 2.0
119 1877 1.0
119 590 4.0
119 4428 2.0
119 4427 2.0
119 119 5.0
120 590 1.0
120 120 1.0
122 2970 1.0
122 4915 1.0
122 1873 1.0
122 122 4.0
134 2302 1.0
134 134 1.0
147 3218 1.0
147 3217 1.0
147 3216 2.0
147 3593 1.0
147 82 1.0
147 3466 1.0
147 4733 2.0
147 2295 1.0
147 1000 1.0
147 4700 2.0
147 4699 1.0
147 4698 1.0
147 1946 1.0
147 1289 1.0
147 147 8.0
150 5025 1.0
150 49 1.0
150 2683 1.0
150 2004 1.0
150 4808 2.0
150 2354 2.0
150 150 6.0
159 3793 1.0
159 159 1.0
161 1699 1.0
161 4961 2.0
161 4960 2.0
161 4538 2.0
161 4537 2.0
161 3969 1.0
161 3968 2.0
161 3967 2.0
161 3370 1.0
161 4273 2.0
161 3963 1.0
161 161 5.0
165 4864 1.0
165 1965 1.0
165 2698 1.0
165 2566 1.0
165 329 1.0
165 165 2.0
166 4982 2.0
166 4981 3.0
166 166 4.0
166 74 1.0
169 4302 1.0
169 724 1.0
169 169 1.0
170 4978 1.0
170 4977 1.0
170 170 1.0
172 4745 2.0
172 4269 1.0
172 2317 3.0
